[2019-04-28 17:20:51][Exception][file:/var/www/html/easySwoole/App/HttpController/Index.php][line:16]Class 'App\HttpController\Trigger' not found
[2019-04-30 14:15:19][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:39][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:41][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:42][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:43][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:45][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:46][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:51][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:15:59][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:16:27][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
[2019-04-30 14:16:57][Exception][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:35]Return value of EasySwoole\EasySwoole\EasySwooleEvent::onRequest() must be of the type boolean, none returned
