[2019-05-09 19:04:06][Notice][file:/var/www/html/easySwoole/EasySwooleEvent.php][line:32]Undefined variable: file
[2019-05-09 19:04:07][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: PORT
[2019-05-09 19:04:07][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SERVER_TYPE
[2019-05-09 19:04:07][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: LISTEN_ADDRESS
[2019-05-09 19:04:07][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: RUN_MODEL
[2019-05-09 19:04:07][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SOCK_TYPE
[2019-05-09 19:04:07][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:121]Undefined index: SERVER_TYPE
[2019-05-09 19:04:49][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: PORT
[2019-05-09 19:04:49][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SERVER_TYPE
[2019-05-09 19:04:49][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: LISTEN_ADDRESS
[2019-05-09 19:04:49][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: RUN_MODEL
[2019-05-09 19:04:49][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SOCK_TYPE
[2019-05-09 19:04:49][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:121]Undefined index: SERVER_TYPE
[2019-05-09 19:05:25][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: PORT
[2019-05-09 19:05:25][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SERVER_TYPE
[2019-05-09 19:05:25][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: LISTEN_ADDRESS
[2019-05-09 19:05:25][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: RUN_MODEL
[2019-05-09 19:05:25][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SOCK_TYPE
[2019-05-09 19:05:25][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:121]Undefined index: SERVER_TYPE
[2019-05-09 19:05:38][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: PORT
[2019-05-09 19:05:38][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SERVER_TYPE
[2019-05-09 19:05:38][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: LISTEN_ADDRESS
[2019-05-09 19:05:38][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: RUN_MODEL
[2019-05-09 19:05:38][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:119]Undefined index: SOCK_TYPE
[2019-05-09 19:05:38][Notice][file:/var/www/html/easySwoole/vendor/easyswoole/easyswoole/src/Core.php][line:121]Undefined index: SERVER_TYPE
